cycle_index,robot_namespace,ros_time_s,source_stamp_s,wall_elapsed_s,cycle_valid,status,input_point_count,filtered_point_count,fine_enabled,ros_to_pcl_ms,queue_wait_ms,task_setup_ms,preprocessing_ms,height_mapping_ms,bgk_mapping_ms,startup_hole_fill_ms,geometric_mapping_ms,step_mapping_ms,traversability_mapping_ms,fine_traversability_mapping_ms,viewpoint_update_ms,map_publication_ms,algorithm_total_ms,accounted_total_ms,cycle_wall_ms,unaccounted_ms,end_to_end_ms
0,vehicle0,963.770000,963.638000,2.868381,1,ok,10298,9185,1,0.144492,0.007999,0.000275,0.092836,45.088329,12.481898,2.018906,40.873829,9.730708,0.951011,285.571797,0.031220,8.038411,396.809314,404.879220,405.115550,0.236330,405.268041
1,vehicle0,964.038000,963.841000,3.878169,1,ok,20581,18240,1,0.250975,0.005170,0.000145,0.095863,29.460304,12.643945,0.000132,40.465235,8.850191,0.699734,338.028109,0.004448,6.182397,430.243513,436.430503,436.592947,0.162444,436.849092
2,vehicle0,964.158000,964.038000,4.638164,1,ok,25453,22583,1,0.185911,0.004895,0.000403,0.117982,22.476608,12.749793,0.000074,51.733834,13.114501,0.920597,340.899344,0.004826,6.480878,442.012733,448.498840,449.013599,0.514759,449.204405
3,vehicle0,964.388000,964.237000,5.434846,1,ok,25336,22472,1,0.220728,0.005017,0.000236,0.051816,22.322084,10.972566,0.000115,41.344288,10.041567,0.701434,309.383708,0.323824,7.030112,394.817578,402.171750,402.428624,0.256874,402.654369
4,vehicle0,964.578000,964.437000,6.183449,1,ok,25301,22377,1,0.219967,0.004093,0.000201,0.051484,7.055394,10.612853,0.000072,41.162207,9.963812,0.707423,312.214786,0.006806,7.876306,381.768031,389.651344,389.829032,0.177688,390.053092
5,vehicle0,964.746000,964.638000,6.912894,1,ok,25287,22314,1,0.331337,0.007410,0.000339,0.075704,6.606261,16.080504,0.000072,38.779588,9.480782,0.851798,346.156244,0.008092,8.966852,418.030953,427.006236,427.415360,0.409124,427.754107
6,vehicle0,964.950000,964.838000,7.924739,1,ok,25287,22324,1,0.255267,0.004910,0.000216,0.053520,4.417661,10.198045,0.000079,37.580777,8.229499,0.948508,300.537121,0.012887,6.292073,361.965210,368.270386,368.463783,0.193397,368.723960
7,vehicle0,965.151000,965.037000,8.711904,1,ok,25209,22257,1,0.376417,0.005979,0.000216,0.051571,3.865122,10.310714,0.000081,36.103833,6.950999,0.863469,294.186974,0.003503,6.447998,352.332763,358.784480,359.068696,0.284216,359.451092
8,vehicle0,965.355000,965.237000,9.520320,1,ok,25211,22255,1,0.282174,0.006435,0.000231,0.088639,4.611926,10.472462,0.000112,33.967169,7.659806,0.948001,326.713078,0.004607,7.247949,384.461193,391.713980,392.064736,0.350756,392.353345
9,vehicle0,965.551000,965.439000,10.421715,1,ok,25219,22259,1,0.455351,0.005904,0.000349,0.078145,3.913311,18.328361,0.000215,39.493514,8.036706,0.740571,259.796668,0.003549,6.202127,330.387491,336.593516,337.096399,0.502883,337.557654
10,vehicle0,965.745000,965.638000,11.187328,1,ok,25217,22257,1,0.363574,0.004259,0.000283,0.051351,2.630045,9.634612,0.000084,30.679375,4.520977,0.903785,211.914132,0.006424,6.246160,260.334361,266.587228,266.763035,0.175807,267.130868
11,vehicle0,965.939000,965.838000,11.879469,1,ok,25230,22271,1,0.380553,0.006586,0.000204,0.052201,2.413892,9.464902,0.000121,26.895814,2.669171,0.684947,78.424055,0.004859,6.603206,120.605103,127.213372,127.355447,0.142075,127.742586
12,vehicle0,966.147000,966.038000,12.733774,1,ok,25231,22280,1,0.370979,0.005046,0.000355,0.052213,4.666667,9.280206,0.000095,29.629445,3.293192,0.709283,125.735274,0.030644,9.137221,173.366375,182.534595,182.733464,0.198869,183.109489
13,vehicle0,966.344000,966.236000,13.570549,1,ok,25240,22283,1,0.355433,0.012040,0.000311,0.080905,3.615856,9.335247,0.000090,30.348646,3.910540,0.689118,165.402893,0.006644,6.856591,213.383295,220.246841,220.414806,0.167965,220.782279
14,vehicle0,966.537000,966.438000,14.328880,1,ok,25220,22259,1,0.475371,0.008268,0.000419,0.081883,3.819913,11.509223,0.000081,27.671200,3.615815,0.754234,118.875387,0.003473,6.342176,166.327736,172.673804,172.899557,0.225753,173.383196
15,vehicle0,966.745000,966.638000,15.223763,1,ok,25174,22214,1,0.387457,0.009904,0.000224,0.088075,4.866783,9.807909,0.000106,32.486255,4.552555,0.817283,179.346366,0.006834,7.800541,231.965332,239.772931,240.030578,0.257647,240.427939
16,vehicle0,966.971000,966.838000,16.192822,1,ok,25199,22245,1,0.307264,0.004454,0.000255,0.051682,4.679479,10.053519,0.000079,40.135508,12.306832,0.921964,330.852305,0.003114,7.214887,399.001368,406.219624,406.498774,0.279150,406.810492
17,vehicle0,967.174000,967.038000,17.007847,1,ok,25215,22261,1,0.377311,0.004358,0.000231,0.050710,6.543923,11.237607,0.000075,41.033426,10.487606,0.696742,340.640529,0.029692,7.030822,410.690618,417.751363,417.936741,0.185378,418.318410
