cycle_index,robot_namespace,ros_time_s,source_stamp_s,wall_elapsed_s,cycle_valid,status,input_point_count,filtered_point_count,fine_enabled,ros_to_pcl_ms,queue_wait_ms,task_setup_ms,preprocessing_ms,height_mapping_ms,bgk_mapping_ms,startup_hole_fill_ms,geometric_mapping_ms,step_mapping_ms,traversability_mapping_ms,fine_traversability_mapping_ms,viewpoint_update_ms,map_publication_ms,algorithm_total_ms,accounted_total_ms,cycle_wall_ms,unaccounted_ms,end_to_end_ms
0,vehicle1,963.737000,963.570000,2.768826,1,ok,12056,10842,1,0.175640,0.005999,0.000231,0.075588,57.721157,11.534051,1.883122,40.611236,12.135118,0.731291,357.030965,0.033339,6.756499,481.722528,488.512597,488.704345,0.191748,488.885984
1,vehicle1,963.937000,963.770000,3.548222,1,ok,22542,20199,1,0.309980,0.014233,0.000702,0.249967,39.261815,11.297630,0.000078,41.858145,11.462615,0.745965,351.513362,0.004001,6.400948,456.389577,462.795228,463.273922,0.478694,463.598135
2,vehicle1,964.237000,964.048000,4.708708,1,ok,26143,23752,1,0.305133,0.005262,0.000223,0.131323,32.185372,15.323573,0.000243,56.830825,12.270696,0.723253,392.592011,0.005109,6.418689,510.057296,516.481317,516.794762,0.313445,517.105157
3,vehicle1,964.437000,964.245000,5.499816,1,ok,25008,22982,1,0.317936,0.006953,0.000216,0.094528,27.274913,10.723947,0.000282,43.097279,11.314116,0.703360,384.140642,0.003598,6.536366,477.349067,483.889247,484.128749,0.239502,484.453638
4,vehicle1,964.638000,964.444000,6.253921,1,ok,25330,23219,1,0.320811,0.004389,0.000176,0.053154,16.738663,10.323492,0.000074,42.072652,12.323729,0.845936,385.510310,0.006446,8.948682,467.868010,476.823314,477.009018,0.185704,477.334218
5,vehicle1,964.772000,964.647000,7.105001,1,ok,25125,23091,1,0.312340,0.005684,0.000149,0.050884,10.268499,10.797404,0.000090,40.734715,10.525985,0.720602,444.113644,0.014467,8.013663,517.211823,525.240102,525.459654,0.219552,525.777678
6,vehicle1,965.037000,964.846000,8.016269,1,ok,25133,23072,1,0.241832,0.007460,0.000315,0.088994,10.360874,11.123995,0.000099,43.809015,11.938974,0.909743,389.835453,0.004050,6.327182,468.067147,474.398694,474.622117,0.223423,474.871409
7,vehicle1,965.237000,965.044000,8.821214,1,ok,25199,23132,1,0.225695,0.004900,0.000233,0.046455,11.729907,12.461095,0.000072,43.235633,10.822315,0.753531,399.714191,0.003112,6.418551,478.763199,485.185095,485.385870,0.200775,485.616465
8,vehicle1,965.439000,965.245000,9.652230,1,ok,25172,23139,1,0.309129,0.233615,0.000323,0.070645,6.948949,10.344510,0.000103,42.545399,11.274902,0.754375,448.199913,0.008932,19.121244,520.138796,539.269295,539.791023,0.521728,540.333767
9,vehicle1,965.617000,965.447000,10.543164,1,ok,25107,23100,1,0.453819,0.006867,0.000324,0.069162,11.389611,13.577345,0.000080,51.429124,12.465897,0.728269,403.467106,0.003961,6.680523,493.126594,499.811402,500.081049,0.269647,500.541735
10,vehicle1,965.793000,965.645000,11.343256,1,ok,25056,23055,1,0.220236,0.003809,0.000245,0.046836,4.688102,9.745445,0.000141,39.036134,10.244160,0.710419,369.226299,0.016325,7.133682,433.697536,440.847788,441.129990,0.282202,441.354035
11,vehicle1,965.971000,965.845000,12.134995,1,ok,25091,23088,1,0.302166,0.005285,0.000233,0.047698,3.840412,9.085707,0.000093,34.274220,7.409851,0.871599,339.201233,0.003783,7.104283,394.730813,401.839112,402.126584,0.287472,402.434035
12,vehicle1,966.154000,966.044000,12.910579,1,ok,25127,23123,1,0.346119,0.004024,0.000202,0.046890,3.856668,10.107387,0.000131,36.012525,9.278633,1.012874,305.564831,0.003779,6.551817,365.879939,372.435737,372.694439,0.258702,373.044582
13,vehicle1,966.394000,966.244000,13.754499,1,ok,25114,23113,1,0.281683,0.004621,0.000205,0.047378,3.885611,8.996908,0.000121,35.518458,8.734657,0.817327,356.203340,0.003042,6.456588,414.203800,420.663635,420.921497,0.257862,421.207801
14,vehicle1,966.600000,966.444000,14.595210,1,ok,25070,23083,1,0.351966,0.005112,0.000283,0.053375,5.504261,9.592379,0.000092,36.595768,8.959524,0.698023,386.278999,0.003739,7.928659,447.682421,455.615102,455.866798,0.251696,456.223876
15,vehicle1,966.771000,966.645000,15.357946,1,ok,25016,23022,1,0.412180,0.006505,0.000293,0.064388,5.332998,10.750895,0.000161,35.106057,9.130236,0.921794,321.966380,0.003229,6.394537,383.272909,389.670968,390.052017,0.381049,390.470702
16,vehicle1,967.010000,966.845000,16.207083,1,ok,25011,23025,1,0.220524,0.003794,0.000264,0.047266,4.791890,8.927028,0.000190,36.328104,10.038925,0.867556,369.904945,0.015381,7.388269,430.905904,438.309818,438.520558,0.210740,438.744876
17,vehicle1,967.237000,967.044000,17.081315,1,ok,25038,23020,1,0.272813,0.004578,0.000289,0.046512,7.494810,9.949341,0.000164,40.415017,10.761080,0.707811,435.703832,0.004362,6.106351,505.078567,511.189569,511.494682,0.305113,511.772073
18,vehicle1,967.437000,967.243000,17.908692,1,ok,25022,22997,1,0.235228,0.006565,0.000294,0.082063,9.895711,10.034128,0.000139,42.523169,13.119153,0.859478,422.833444,0.003589,6.782133,499.347285,506.133301,506.445938,0.312637,506.687731
19,vehicle1,967.637000,967.445000,18.756537,1,ok,24997,22938,1,0.275262,0.005472,0.000240,0.049348,12.279426,10.274982,0.000097,43.790601,12.739612,0.757126,440.440883,0.003002,7.031968,520.332075,527.367285,527.588703,0.221418,527.869437
20,vehicle1,967.837000,967.645000,19.572847,1,ok,24999,22953,1,0.363744,0.013066,0.000189,0.082270,7.606445,9.512988,0.000138,39.559222,11.162500,0.715230,417.795562,0.003413,7.673480,486.434355,494.111437,494.352628,0.241191,494.729438
21,vehicle1,968.038000,967.845000,20.428322,1,ok,25018,22984,1,0.365731,0.008930,0.000258,0.186092,7.325142,9.374930,0.000112,41.566751,10.507978,0.719381,435.207958,0.039122,7.377942,504.888344,512.305666,512.532317,0.226651,512.906978
22,vehicle1,968.238000,968.044000,21.242244,1,ok,24981,22932,1,0.326124,0.004915,0.000291,0.054381,7.154004,9.600810,0.000116,39.873215,9.947460,0.718269,411.722444,0.005278,6.314752,479.070699,485.391020,485.604965,0.213945,485.936004
23,vehicle1,968.439000,968.246000,22.132193,1,ok,24950,22879,1,0.378410,0.007131,0.000163,0.056029,13.832018,9.616392,0.000272,44.372568,13.875098,0.918564,455.993243,0.004539,8.306954,538.664184,546.975840,547.230364,0.254524,547.615905
24,vehicle1,968.638000,968.446000,22.901180,1,ok,24882,22737,1,0.308525,0.005366,0.000215,0.095334,9.547178,9.296486,0.000095,45.374073,11.460235,0.747068,407.219355,0.003906,7.244532,483.739824,490.988477,491.250089,0.261612,491.563980
25,vehicle1,968.837000,968.645000,23.768190,1,ok,24922,22659,1,0.387495,0.013298,0.000470,0.148808,15.574043,9.526324,0.000101,43.937867,13.538700,0.700106,442.892400,0.003511,6.097857,526.318349,532.420187,532.720526,0.300339,533.121319
26,vehicle1,969.038000,968.843000,24.564646,1,ok,24812,22415,1,0.261519,0.007589,0.000336,0.098989,11.703158,9.316484,0.000099,44.965939,12.492717,1.008796,432.708586,0.016678,7.196573,512.294768,519.508355,519.970608,0.462253,520.239716
27,vehicle1,969.239000,969.045000,25.370203,1,ok,24779,22225,1,0.313149,0.007568,0.000179,0.080914,10.369795,9.693106,0.000095,43.062863,14.255565,0.738218,420.561707,0.003739,6.151973,498.762263,504.918154,505.170489,0.252335,505.491206
28,vehicle1,969.433000,969.246000,26.191932,1,ok,24763,22015,1,0.229960,0.004240,0.000186,0.047452,6.764879,9.559974,0.000071,40.370120,13.393706,0.931301,410.411590,0.003917,6.943797,481.479093,488.426993,488.911528,0.484535,489.145728
29,vehicle1,969.638000,969.446000,27.039911,1,ok,24799,21883,1,0.223222,0.004350,0.000290,0.110482,7.849979,10.622680,0.000112,45.152749,11.798282,0.731874,419.700483,0.003382,6.842929,495.966641,502.813242,503.175430,0.362188,503.403002
30,vehicle1,969.837000,969.645000,27.859837,1,ok,24839,21888,1,0.298781,0.009583,0.000331,0.101337,10.536938,8.662463,0.000096,40.848055,17.982047,0.988543,406.705899,0.010967,6.939786,485.825378,492.776462,493.076140,0.299678,493.384504
31,vehicle1,970.017000,969.845000,28.649159,1,ok,24898,21926,1,0.234692,0.005646,0.000152,0.075889,8.525456,8.869719,0.000110,42.247117,10.629966,0.720733,383.480861,0.003258,8.185784,454.549851,462.739045,462.945588,0.206543,463.185926
32,vehicle1,970.238000,970.045000,29.494493,1,ok,25056,22010,1,0.385080,0.006802,0.000247,0.084503,13.555349,9.257302,0.000089,43.290307,12.115996,0.730982,400.800024,0.026928,8.337569,479.834552,488.199296,488.473370,0.274074,488.865252
33,vehicle1,970.437000,970.246000,30.309403,1,ok,25277,22116,1,0.241725,0.005105,0.000298,0.115479,16.800304,8.900614,0.000107,48.899056,13.071138,0.718092,396.817544,0.003293,6.716333,485.322334,492.042258,492.274411,0.232153,492.521241
34,vehicle1,970.621000,970.446000,31.115054,1,ok,25568,22308,1,0.234434,0.005048,0.000245,0.056727,11.013047,8.388034,0.000097,43.298273,13.812332,0.740055,398.255962,0.007386,7.615436,475.564527,483.187594,483.480979,0.293385,483.720461
35,vehicle1,970.833000,970.645000,31.947849,1,ok,25845,22485,1,0.369036,0.006705,0.000195,0.055667,11.084257,7.976069,0.000126,43.529276,15.797746,0.896817,391.954140,0.004671,6.739821,471.294098,478.038785,478.292155,0.253370,478.667896
36,vehicle1,971.023000,970.846000,32.754602,1,ok,26073,22628,1,0.275318,0.007108,0.000278,0.102207,10.145576,7.690466,0.000085,40.851636,13.639903,1.031389,374.425103,0.017576,9.331641,447.886365,457.235860,457.588666,0.352806,457.871092
37,vehicle1,971.219000,971.044000,33.568262,1,ok,26190,22677,1,0.240606,0.004971,0.000256,0.127580,10.043631,7.991963,0.000109,43.718115,11.179434,0.833075,381.590524,0.004052,6.361497,455.484431,461.850236,462.228541,0.378305,462.474118
38,vehicle1,971.425000,971.247000,34.381251,1,ok,26243,22721,1,0.467285,0.006756,0.000315,0.084454,10.165238,8.844942,0.000075,39.185817,12.426559,0.793734,380.564084,0.094271,8.963471,452.064903,461.122960,461.479594,0.356634,461.953635
39,vehicle1,971.602000,971.441000,35.185234,1,ok,26256,22733,1,0.236619,0.007341,0.000320,0.082303,8.698162,9.863616,0.000104,40.336835,11.013055,0.733132,360.299252,0.003617,6.830952,431.026459,437.861348,438.216148,0.354800,438.460108
40,vehicle1,971.811000,971.645000,36.018370,1,ok,26298,22798,1,0.316586,0.004268,0.000299,0.097658,11.911911,8.681212,0.000103,43.055257,14.465209,0.977332,377.497257,0.004603,8.248725,456.685939,464.939566,465.412155,0.472589,465.733009
41,vehicle1,972.037000,971.845000,36.846739,1,ok,26259,22765,1,0.258155,0.004400,0.000248,0.046980,12.129348,9.655586,0.000074,43.064736,13.255364,0.720569,378.408425,0.004085,8.284969,457.281082,465.570384,465.960283,0.389899,466.222838
42,vehicle1,972.231000,972.045000,37.655121,1,ok,26294,22832,1,0.343819,0.006384,0.000361,0.087693,13.895078,8.126930,0.000073,41.515258,14.177529,0.733324,385.641974,0.009508,7.599246,464.177859,471.786974,472.083895,0.296921,472.434098
43,vehicle1,972.428000,972.242000,38.472103,1,ok,26422,22925,1,0.293269,0.007208,0.000236,0.089967,14.211549,9.629324,0.000079,42.506516,13.462606,0.731083,375.850962,0.026259,7.711475,456.482086,464.220056,464.670465,0.450409,464.970942
44,vehicle1,972.626000,972.445000,39.280818,1,ok,26676,23094,1,0.281068,0.004021,0.000194,0.133066,10.041065,8.689202,0.000169,43.045027,13.349881,0.795789,381.751088,0.009674,8.118782,457.805287,465.933937,466.878411,0.944474,467.163500
45,vehicle1,972.822000,972.644000,40.090495,1,ok,26836,23194,1,0.391655,0.022640,0.000325,0.090512,9.596938,8.174265,0.000092,42.601143,13.228630,0.713728,383.442720,0.014895,6.441951,457.848028,464.305199,464.544061,0.238862,464.958356
46,vehicle1,973.037000,972.846000,40.940776,1,ok,26976,23322,1,0.267764,0.003953,0.000112,0.053223,9.006624,9.482905,0.000136,45.781101,11.817565,0.840991,383.091572,0.002844,6.454427,460.074117,466.531500,466.733758,0.202258,467.005475
47,vehicle1,973.214000,973.044000,41.736181,1,ok,27076,23492,1,0.413536,0.005902,0.000244,0.053573,7.432578,9.514364,0.000155,43.423226,11.096094,0.714137,383.164399,0.012699,9.154929,455.398526,464.566398,465.030839,0.464441,465.450277
