-1.00,16.00,0.00,0.48,19.97
-1.00,16.00,0.00,0.48,19.97
-1.00,16.00,0.00,0.48,19.97
-0.40,7.00,0.00,2.90,2.15
-1.40,7.40,0.00,3.77,6.74
-1.40,7.40,0.00,3.17,1.29
-1.20,7.40,0.00,2.30,4.14
-0.40,7.20,0.00,3.72,7.26
-1.20,7.20,0.00,0.85,4.05
-1.20,7.20,0.00,0.85,4.05
-1.20,7.20,0.00,0.85,4.05
-1.20,7.20,0.00,0.85,4.05
1.80,5.20,0.00,0.89,17.42
1.80,5.20,0.00,0.89,17.42
1.80,5.20,0.00,0.89,17.42
1.80,5.20,0.00,0.89,17.42
2.00,5.20,0.00,0.45,17.54
1.80,5.20,0.00,0.89,17.42
1.80,5.40,0.00,0.89,16.96
1.80,5.40,0.00,0.89,16.96
1.80,5.40,0.00,0.34,18.08
1.80,5.40,0.00,0.34,18.08
2.00,5.40,0.00,0.47,18.64
2.00,5.20,0.00,0.45,17.54
2.20,5.20,0.00,0.48,17.77
2.40,5.20,0.00,0.93,17.12
2.40,5.20,0.00,0.43,18.69
2.40,5.20,0.00,0.43,18.69
2.40,5.20,0.00,0.43,18.69
2.40,5.20,0.00,0.43,18.69
2.40,5.20,0.00,0.43,18.69
2.40,5.20,0.00,0.43,18.69
-1.20,7.20,0.00,1.51,1.58
-1.20,7.20,0.00,1.51,1.58
-1.20,7.20,0.00,1.51,1.58
-7.20,7.00,0.00,4.06,9.52
5.00,6.00,0.00,2.94,2.30
-10.00,7.20,0.00,0.52,0.60
-10.00,6.20,0.00,0.44,3.20
-10.00,6.60,0.00,0.48,2.14
0.00,6.60,0.00,0.08,5.75
0.00,7.20,0.00,1.64,7.45
0.00,7.40,0.00,0.39,2.45
-11.00,6.60,0.00,0.71,5.97
-10.00,6.60,0.00,0.48,5.75
0.00,5.60,0.00,0.67,10.50
0.00,5.30,0.00,2.07,20.89
5.00,7.40,0.00,2.45,15.07
5.00,7.00,0.00,1.65,29.66
0.00,7.20,0.00,1.64,7.45
-10.00,7.20,0.00,0.52,0.60
-10.00,7.20,0.00,0.52,0.60
-10.00,7.20,0.00,0.52,0.60
-10.00,6.80,0.00,0.48,6.08
-10.00,6.60,0.00,0.48,5.75
-9.80,6.60,0.00,0.46,5.93
-9.80,6.80,0.00,0.46,2.24
-9.80,6.40,0.00,0.45,3.34
-11.00,6.60,0.00,0.71,5.97
5.00,6.60,0.00,1.57,3.31
7.00,5.20,0.00,1.45,20.98
0.00,5.60,0.00,0.67,10.50
7.00,4.60,0.00,1.34,17.12
7.00,3.60,0.00,1.17,0.13
7.00,4.00,0.00,1.18,6.86
0.00,5.40,0.00,2.07,21.54
0.00,5.60,0.00,2.27,14.05
0.00,4.50,0.00,6.03,10.12
-10.00,4.20,0.00,0.25,6.05
-10.00,4.00,0.00,0.17,2.76
-10.00,4.00,0.00,0.17,4.30
-10.00,4.20,0.00,0.25,6.05
-9.00,4.20,0.00,0.31,6.35
-9.40,4.20,0.00,0.17,6.22
-9.40,4.40,0.00,0.17,6.22
-9.60,4.40,0.00,0.09,6.08
-9.60,4.40,0.00,0.09,6.08
-9.60,4.40,0.00,0.09,6.08
-10.60,4.40,0.00,0.33,9.11
-10.60,4.40,0.00,0.33,9.11
-10.60,4.40,0.00,0.33,9.11
-10.60,4.40,0.00,0.33,9.11
-10.60,4.40,0.00,0.33,9.11
-10.60,4.40,0.00,0.33,9.11
-10.60,4.40,0.00,0.33,9.11
-10.60,4.40,0.00,0.33,9.11
-10.60,4.40,0.00,0.33,9.11
-10.60,4.40,0.00,0.33,9.11
-10.60,4.20,0.00,0.33,5.94
-10.20,4.20,0.00,0.31,6.00
-10.20,4.00,0.00,0.24,4.26
-11.20,4.00,0.00,0.42,4.24
-11.20,5.00,0.00,0.51,11.97
-1.00,16.00,0.00,1.50,0.16
-1.20,7.20,0.00,3.37,4.92
-1.20,7.20,0.00,3.43,2.54
-1.20,7.20,0.00,0.85,4.05
-1.20,7.20,0.00,0.85,4.05
