record_type,stamp_sec,cycle,vehicle_id,vehicle,cell_x,cell_y,slope,roughness,step,coarse_cost,n_points,interpolated,pose_status,status,roll_deg,pitch_deg,contact_points,stable,final_cost,success_count,collision_count,failure_count,skipped_cells
cell,3.205,1,2,tracked car,9.75,8.25,0.478155345,0.000374459574,0.601136684,0.359888822,0,1,1,collision,0,0,15,0,1,,,,
cell,3.205,1,1,wheeled car,9.75,7.25,0.301401496,0.420649588,0.522874773,0.414975286,1,0,2,success,15.3356316,-7.07402822,4,1,0.373494327,,,,
cell,3.205,1,2,tracked car,9.75,7.25,0.301401496,0.420649588,0.522874773,0.414975286,1,0,1,collision,0,0,21,0,1,,,,
cell,3.205,1,1,wheeled car,9.75,6.75,0.430712014,0.186813459,0.522874773,0.38013342,0,1,2,success,14.9141605,-0.625545572,8,1,0.258995116,,,,
cell,3.205,1,2,tracked car,9.75,6.75,0.430712014,0.186813459,0.522874773,0.38013342,0,1,2,success,27.7805159,-5.38985659,6,1,0.552839518,,,,
cell,3.205,1,1,wheeled car,9.25,8.75,0.391654134,0.389405936,0.0192242861,0.266761452,0,1,2,success,17.3310932,-7.95704525,4,1,0.421468973,,,,
cell,3.205,1,2,tracked car,9.25,8.75,0.391654134,0.389405936,0.0192242861,0.266761452,0,1,2,success,24.4574867,-10.7381356,5,1,0.586593688,,,,
cell,3.205,1,1,wheeled car,9.25,8.25,0.462189227,0.24031201,nan,nan,0,0,2,success,19.2088347,-1.26289067,10,1,0.341195434,,,,
cell,3.205,1,2,tracked car,9.25,8.25,0.462189227,0.24031201,nan,nan,0,0,2,success,23.5711152,-6.25727332,6,1,0.497139812,,,,
cell,3.205,1,1,wheeled car,9.25,7.25,0.377095848,0.323076874,1.01221859,1,0,1,2,success,16.153002,-7.92050972,8,1,0.401225209,,,,
cell,3.205,1,2,tracked car,9.25,7.25,0.377095848,0.323076874,1.01221859,1,0,1,2,success,26.5251013,-9.83026697,5,1,0.605922818,,,,
cell,3.205,1,1,wheeled car,9.25,6.75,0.382648408,0.32714197,1.01221859,1,0,1,2,success,16.9488107,0.518066204,9,1,0.291114628,,,,
cell,3.205,1,2,tracked car,9.25,6.75,0.382648408,0.32714197,1.01221859,1,0,1,2,success,20.3376274,-4.47678353,7,1,0.413573503,,,,
cell,3.205,1,1,wheeled car,8.75,10.75,0.455542594,1.03201628,0.0146055222,1,1,0,1,collision,0,0,6,0,1,,,,
cell,3.205,1,2,tracked car,8.75,10.75,0.455542594,1.03201628,0.0146055222,1,1,0,2,success,-1.2726607,0.917486279,15,1,0.0365024507,,,,
cell,3.205,1,1,wheeled car,8.75,10.25,0.571465492,0.427347183,nan,nan,0,0,1,collision,0,0,1,0,1,,,,
cell,3.205,1,2,tracked car,8.75,10.25,0.571465492,0.427347183,nan,nan,0,0,2,success,35.990294,-17.3220011,5,1,0.788700044,,,,
cell,3.205,1,1,wheeled car,8.75,8.75,0.451287955,0.247459769,nan,nan,0,0,2,success,16.8176468,-8.20816561,4,1,0.417096883,,,,
cell,3.205,1,2,tracked car,8.75,8.75,0.451287955,0.247459769,nan,nan,0,0,2,success,27.0774619,-12.1660247,5,1,0.654058099,,,,
cell,3.205,1,1,wheeled car,8.75,8.25,0.39242965,0.390835166,0.00536076725,0.262875199,0,1,2,success,20.0626537,-0.818356244,9,1,0.348016828,,,,
cell,3.205,1,2,tracked car,8.75,8.25,0.39242965,0.390835166,0.00536076725,0.262875199,0,1,2,success,25.0384754,-6.56583967,5,1,0.526738584,,,,
cell,3.205,1,1,wheeled car,8.75,7.25,0.414025635,0.207224518,0.511752427,0.377667516,0,1,2,success,17.4300971,-7.91726877,5,1,0.422456086,,,,
cell,3.205,1,2,tracked car,8.75,7.25,0.414025635,0.207224518,0.511752427,0.377667516,0,1,2,success,28.0582412,-11.7692061,6,1,0.663790762,,,,
cell,3.205,1,1,wheeled car,8.25,11.25,0.316745549,1.31771302,0.0161105394,1,4,0,2,success,14.7856124,-13.0963239,3,1,0.464698941,,,,
cell,3.205,1,2,tracked car,8.25,11.25,0.316745549,1.31771302,0.0161105394,1,4,0,2,success,-1.11309064,2.00119183,14,1,0.0519047081,,,,
cell,3.205,1,1,wheeled car,8.25,10.75,0.589878142,0.948840916,1.44647861,1,0,1,1,collision,0,0,3,0,1,,,,
cell,3.205,1,2,tracked car,8.25,10.75,0.589878142,0.948840916,1.44647861,1,0,1,1,collision,0,0,6,0,1,,,,
cell,3.205,1,1,wheeled car,8.25,10.25,0.525462508,1.04394138,1.44647861,1,0,1,2,success,23.4096927,-0.448527441,10,1,0.39763701,,,,
cell,3.205,1,2,tracked car,8.25,10.25,0.525462508,1.04394138,1.44647861,1,0,1,2,success,21.0329766,-12.1803081,5,1,0.553554773,,,,
cell,3.205,1,1,wheeled car,8.25,9.25,0.337699592,0.644346535,0.578445911,0.520164013,2,0,2,success,14.399661,-13.2137198,4,1,0.460223019,,,,
cell,3.205,1,2,tracked car,8.25,9.25,0.337699592,0.644346535,0.578445911,0.520164013,2,0,2,success,-0.69577973,1.16486352,14,1,0.0310107209,,,,
cell,3.205,1,1,wheeled car,8.25,8.75,0.477055997,0.255123258,0.587270141,0.439816475,0,1,1,collision,0,0,11,0,1,,,,
cell,3.205,1,2,tracked car,8.25,8.75,0.477055997,0.255123258,0.587270141,0.439816475,0,1,2,success,29.9076258,-14.4447378,4,1,0.739206076,,,,
cell,3.205,1,1,wheeled car,8.25,7.75,0.311300248,0.226436809,0.641581416,0.393106192,1,0,2,success,16.3912812,-14.39025,6,1,0.513025522,,,,
cell,3.205,1,2,tracked car,8.25,7.75,0.311300248,0.226436809,0.641581416,0.393106192,1,0,2,success,15.8445948,-7.62347493,6,1,0.391134501,,,,
cell,3.205,1,1,wheeled car,8.25,7.25,0.371631682,0.146039486,0.641581416,0.386417538,0,1,2,success,14.6959055,0.590617737,9,1,0.254775375,,,,
cell,3.205,1,2,tracked car,8.25,7.25,0.371631682,0.146039486,0.641581416,0.386417538,0,1,2,success,13.6555218,-11.455678,5,1,0.418520004,,,,
cell,3.205,1,1,wheeled car,8.25,5.75,0.304424196,0.117475852,nan,nan,0,0,2,success,10.7764723,0.24003289,6,1,0.183608413,,,,
cell,3.205,1,2,tracked car,8.25,5.75,0.304424196,0.117475852,nan,nan,0,0,2,success,10.815205,-4.82766365,5,1,0.260714471,,,,
cell,3.205,1,1,wheeled car,7.75,11.75,0.373478979,1.1469692,0.0343880057,1,3,0,2,success,14.2877242,-13.5583742,4,1,0.464101642,,,,
cell,3.205,1,2,tracked car,7.75,11.75,0.373478979,1.1469692,0.0343880057,1,3,0,1,collision,0,0,7,0,1,,,,
cell,3.205,1,1,wheeled car,7.75,11.25,0.587086499,0.956541181,1.45921302,1,0,1,2,success,23.6750751,-23.8458648,4,1,0.792015672,,,,
cell,3.205,1,2,tracked car,7.75,11.25,0.587086499,0.956541181,1.45921302,1,0,1,1,collision,0,0,5,0,1,,,,
cell,3.205,1,1,wheeled car,7.75,10.75,0.584327519,1.13222146,1.45921302,1,0,1,1,collision,0,0,4,0,1,,,,
cell,3.205,1,2,tracked car,7.75,10.75,0.584327519,1.13222146,1.45921302,1,0,1,1,collision,0,0,12,0,1,,,,
cell,3.205,1,1,wheeled car,7.75,10.25,0.317297399,1.29466462,0.00575780869,1,3,0,2,success,24.6813736,-1.34754103,9,1,0.433815241,,,,
cell,3.205,1,2,tracked car,7.75,10.25,0.317297399,1.29466462,0.00575780869,1,3,0,2,success,18.2475615,-15.7299421,4,1,0.566291749,,,,
cell,3.205,1,1,wheeled car,7.75,9.25,0.472710639,0.617187679,1.16276848,1,0,1,2,success,19.8090362,-10.9977306,5,1,0.513446093,,,,
cell,3.205,1,2,tracked car,7.75,9.25,0.472710639,0.617187679,1.16276848,1,0,1,2,success,30.8051108,-14.535961,5,1,0.742265999,,,,
cell,3.205,1,1,wheeled car,7.75,8.75,0.416849166,0.713763297,1.1599654,1,0,1,2,success,19.1870003,-0.652051945,10,1,0.330650866,,,,
cell,3.205,1,2,tracked car,7.75,8.75,0.416849166,0.713763297,1.1599654,1,0,1,1,collision,0,0,6,0,1,,,,
cell,3.205,1,1,wheeled car,7.75,7.75,0.370638639,0.153348029,0.633692265,0.385892957,0,1,2,success,17.3393149,-7.99424388,5,1,0.422225982,,,,
